variant,rung,k,lossMax,lossTarget,days,total,avgDaily,median,worst,best,daysUnder1k,daysUnder2k,daysUnder5k,negDays,winRate,maxDD,ddSpanDays,retDD,opens,coverFillRate,coverPending,worstHeldFloor,capExceeded,opensBlocked,offsets
v8-10,3,3,3000,2100,765,1508218,1972,1752,-2950,10135,46,11,0,110,85,-4688,4,321.7,22.68,86,1840,-2995,0,74,29
v8-10,2,2,2000,1400,765,1467317,1918,1725,-1995,10135,47,0,0,117,85,-3575,4,410.4,22.28,86,1806,-2511,0,508,59
v8-10,1.5,1.5,1500,1050,765,1399075,1829,1680,-1490,10135,68,0,0,137,82,-2991,4,467.8,21.15,86.2,1692,-2037,0,1307,60
v8-10,1,1,1000,700,765,1136208,1485,1270,-1266,9128,2,0,0,193,75,-4210,7,269.9,17.47,86.7,1379,-1735,1,3422,54
v8-20,current/generic,3.5,7000,5000,765,1160369,1517,1360,-6960,15179,166,104,56,245,68,-18030,4,64.4,13.78,68.6,1769,-6995,0,618,62
v8-20,3,3,6000,4200,765,1155360,1510,1313,-6000,14559,174,113,53,248,67,-19135,4,60.4,13.52,68.7,1721,-6000,0,836,84
v8-20,2,2,4000,2800,765,1113642,1456,1129,-4000,13882,189,125,0,266,65,-13774,5,80.8,12.7,69.4,1550,-4000,0,1660,75
v8-20,1.5,1.5,3000,2100,765,1101350,1440,974,-2990,16271,195,123,0,280,63,-11263,7,97.8,12.11,69.5,1438,-3000,0,2603,117
v8-20,1,1,2000,1400,765,1075939,1406,910,-1995,14699,196,0,0,297,61,-10942,12,98.3,10.84,69.2,1301,-2088,0,4868,167
v8-40,current/generic,2.25,9000,5000,765,471171,616,481,-9000,26385,272,203,120,339,56,-66463,62,7.1,7.4,38.1,1193,-9000,0,2097,536
v8-40,2,2,8000,5600,765,459663,601,457,-7985,26385,278,207,128,335,56,-50401,65,9.1,6.91,39.4,1126,-7995,0,2482,325
v8-40,1.5,1.5,6000,4200,765,408227,534,130,-5780,19222,313,240,6,374,51,-37619,35,10.9,5.91,39,953,-6000,0,3466,355
v8-40,1,1,4000,2800,765,400382,523,-507,-3995,17388,365,283,0,416,45,-35764,44,11.2,4.55,40.4,831,-4000,0,7177,129
v9-10,current/generic,6,6000,5000,765,2698716,3528,3333,-5865,16724,67,43,3,109,86,-8051,3,335.2,37,82.9,4221,-5995,0,204,6
v9-10,4,4,4000,2800,765,2611596,3414,3171,-3990,16724,71,44,0,117,84,-6437,3,405.7,35.62,83,4031,-4000,0,1233,17
v9-10,3,3,3000,2100,765,2533348,3312,3118,-2995,16724,69,34,0,118,84,-5045,2,502.2,33.99,83.3,3775,-3000,0,2505,31
v9-10,2,2,2000,1400,765,2273844,2972,2632,-1995,14714,70,0,0,134,82,-3830,2,593.7,30.27,83.5,3301,-2058,0,5378,26
