variant,rung,k,lossMax,lossTarget,days,total,avgDaily,median,worst,best,daysUnder1k,daysUnder2k,daysUnder5k,negDays,winRate,maxDD,ddSpanDays,retDD,opens,coverFillRate,coverPending,worstHeldFloor,capExceeded,opensBlocked,offsets
v3-40-cATM,1.875,1.88,7500,5250,765,1644658,2150,1359,-7490,29441,256,204,68,309,59,-25700,8,64,16.57,35.7,5529,-7500,0,1805,815
v3-40-cATM,1.625,1.63,6500,4550,765,1515707,1981,1055,-6464,29441,257,196,56,324,58,-38531,21,39.3,15.69,35.5,5204,-6500,0,2420,859
v3-40-cATM,1.375,1.38,5500,3850,765,1374949,1797,1114,-5500,30724,257,201,30,320,58,-27733,20,49.6,13.97,35.4,4652,-5500,0,3531,814
v3-40-cATM,0.875,0.88,3500,2450,765,935157,1222,167,-3500,33028,288,167,0,366,52,-18682,20,50.1,9.22,34.6,3135,-3500,0,6611,481
v4-40-cATM,current/generic,2.25,9000,5000,765,1216141,1590,-1246,-9000,48659,384,353,270,405,47,-82880,39,14.7,18.43,35.8,5141,-9000,0,3322,1108
v4-40-cATM,2.125,2.13,8500,5950,765,1157021,1512,-1293,-8500,47529,392,361,279,407,47,-85298,29,13.6,17.61,36.5,5027,-8500,0,3586,769
v4-40-cATM,1.875,1.88,7500,5250,765,1108823,1449,-1826,-7500,47391,408,376,262,430,44,-90200,39,12.3,16.71,35.8,4771,-7500,0,4199,732
v4-40-cATM,1.625,1.63,6500,4550,765,1013719,1325,-1550,-6500,48197,403,372,253,436,43,-81505,39,12.4,15.75,35.4,4447,-6500,0,4856,710
v4-40-cATM,1.375,1.38,5500,3850,765,927328,1212,-1670,-5500,45484,415,371,152,453,41,-74907,55,12.4,14.3,34.6,4063,-5500,0,5756,661
v4-40-cATM,0.875,0.88,3500,2450,765,635883,831,-1520,-3500,36233,412,318,0,464,39,-45043,43,14.1,10.27,32.7,2975,-3500,0,8223,507
v5-40-cATM,current/generic,2.25,9000,5000,765,2234751,2921,1430,-9000,43869,285,250,123,335,56,-55767,16,40.1,21.91,36.6,8276,-9000,0,1728,964
v5-40-cATM,2.125,2.13,8500,5950,765,2186740,2858,1193,-8500,44382,297,255,125,344,55,-57869,16,37.8,21.27,37,8128,-8500,0,1987,695
v5-40-cATM,1.875,1.88,7500,5250,765,2046811,2676,1050,-7500,45512,303,262,125,340,55,-52544,16,39,20.45,36.7,7838,-7500,0,2537,681
v5-40-cATM,1.625,1.63,6500,4550,765,1912505,2500,439,-6500,41333,306,261,123,358,53,-45405,16,42.1,19.35,36.5,7393,-6500,0,3293,652
v5-40-cATM,1.375,1.38,5500,3850,765,1657529,2167,265,-5500,37703,316,280,92,367,52,-71538,32,23.2,17.68,36.2,6853,-5500,0,4304,598
v5-40-cATM,0.875,0.88,3500,2450,765,1169407,1529,-559,-3500,38841,353,263,0,423,45,-39135,32,29.9,12.36,35.3,4938,-3500,0,7635,390
v6-40-cATM,current/generic,2.25,9000,5000,765,2103783,2750,663,-9000,56221,330,294,205,358,53,-78734,13,26.7,30.76,37.3,9419,-9000,0,2914,1326
v6-40-cATM,2.125,2.13,8500,5950,765,1957145,2558,442,-8500,56221,343,303,214,369,52,-62670,13,31.2,29.91,37.6,9237,-8500,0,3184,983
v6-40-cATM,1.875,1.88,7500,5250,765,1775198,2321,-209,-7500,56221,360,312,208,388,49,-63998,13,27.7,28.42,36.8,8843,-7661,0,3843,991
v6-40-cATM,1.625,1.63,6500,4550,765,1660253,2170,-327,-6500,56221,357,327,189,395,48,-67086,21,24.7,26.89,36.1,8387,-6643,0,4571,944
v6-40-cATM,1.375,1.38,5500,3850,765,1509572,1973,-519,-5500,56221,366,328,138,411,46,-53421,15,28.3,24.37,35.5,7649,-5578,0,5650,847
v6-40-cATM,0.875,0.88,3500,2450,765,1032953,1350,-950,-3500,48766,379,293,0,437,43,-52785,28,19.6,17.51,33.1,5788,-3686,0,8528,531
v7-40-cATM,current/generic,2.25,9000,5000,765,2729631,3568,-2132,-9000,75346,414,390,287,432,43,-89038,22,30.7,26.73,36,8844,-9000,0,21141,2391
