,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
6/16/2023,2210,-320,-330,1295,-940,-4552,970,-855,-4537,1570,-675,-4537,675,-4213,-8903,2920,4941,-997,1340,628,-4967,9970,17461,28302,430,-2435,3840,9720,16991,28302,2210,-320,-4305,1295,1210,-5265,970,1275,-5250,1570,1935,-5250,675,-6025,-17195,2920,5245,1705,1340,2845,480,11160,29835,61530,1150,2920,-880,10910,29500,60355,1220,471,-2575,471,-2755,471,-2755,471,-4573,-8586,5300,1153,2757,-648,19855,37107,785,814,19765,37107
6/19/2023,3400,4270,6317,2665,3580,6317,2665,3580,6317,2665,3580,6317,3570,5515,8185,4785,8490,9966,5920,9880,11646,6065,6160,7791,2985,2430,1240,6065,6160,7791,3400,4270,6780,2665,3580,6780,2665,3580,6780,2665,3580,6780,3570,5515,7750,4785,8490,13090,5920,11595,17135,9990,18200,28610,5920,11595,17135,9990,18200,28610,-2280,-2655,-2280,-2655,-2280,-2655,-2280,-2655,1335,1390,830,850,-6350,-70,-3235,-2630,-1190,-380,-3235,-2630
6/20/2023,735,-685,-934,285,-715,-1504,160,-820,-6450,160,-820,-6450,4875,14087,13259,3545,1620,2730,3195,2830,4250,-2820,760,-5507,3100,1310,2923,-2820,760,-5507,735,-685,-225,285,-225,-3515,160,-330,-3515,160,-330,-3515,4875,14675,20585,3545,9990,11750,3195,9840,9665,-2665,-7850,-27605,3195,8420,9665,-2665,-7850,-27605,1015,-3807,300,-3807,300,-3807,300,-445,10913,10762,-764,-2818,90,-3363,-4005,-6845,-1255,2897,-4005,-6845
6/21/2023,4150,9000,12851,3565,6930,10751,2930,6925,7382,4930,6953,6713,3495,5830,4262,3745,6970,12051,6565,12030,20873,5708,5214,4620,3720,930,-3909,5708,5214,4620,4150,9000,13340,3565,7180,8840,2930,6555,8785,3115,6825,8785,3495,8580,14535,3745,6970,13115,6565,12030,21625,6190,12790,26995,6110,10630,22980,6190,12790,26995,7790,8214,5329,3686,5021,5183,4682,4465,4905,3506,275,5342,17505,14496,306,-2647,575,-437,306,-2647
6/22/2023,595,1120,-1148,-1485,-110,-1148,-1795,1150,-1038,-1795,1672,896,-855,-3725,-8892,2270,4755,-2021,2675,2910,-3939,6051,14771,16001,2300,2565,5520,6051,14771,16001,595,1120,2990,-1485,-910,-1210,-1795,-1200,-1210,-1795,-1200,-1210,-855,-3725,-18235,2270,4755,1755,2675,4060,-1360,7730,21010,43900,2650,3565,-2230,7730,21010,43900,1580,2719,195,4242,2205,4440,2218,5629,-5120,-8725,5075,5281,3687,6516,15820,27587,-240,6460,15820,27587
6/23/2023,965,2015,5456,2565,4860,7205,2285,2475,7205,2535,2685,7205,4985,7441,13441,2505,2745,771,2885,-533,1844,1040,-3427,-5791,3390,5020,8485,860,-3427,-5791,965,2015,155,2565,4590,5150,2285,4465,4740,2535,4715,4740,4985,8545,17400,2505,1000,1785,2885,-55,1260,705,-14320,-44960,2885,-55,1430,525,-14320,-44960,898,326,1073,326,583,326,3933,326,4937,9675,530,4275,721,-2100,-4507,-5370,2227,9309,-4507,-5370
6/26/2023,2535,1028,-1035,540,598,-1035,545,588,-1105,640,891,-3224,-1820,-5357,-7255,980,-4375,-8655,-700,-6160,-8090,8464,3298,-8940,-3735,-5089,-7025,8464,3298,-8940,2535,1475,-580,540,-905,-6030,545,-780,-6030,640,-780,-6030,-1820,-5930,-22140,980,55,-3975,185,1930,-6855,10080,17870,28220,1110,1155,-7340,10080,17870,24895,1575,484,2775,484,1745,484,3405,344,-6960,-8420,-1696,-4912,-5132,-8285,10987,-8920,-6480,-8420,9602,-8920
6/27/2023,2835,1098,-295,1970,155,-640,2365,155,-2300,2270,90,-2300,385,-4695,-8954,1070,345,-4419,2385,-1599,-5390,4285,1996,7662,620,290,4012,4285,1996,7662,2835,1455,3700,1970,185,100,2220,215,100,2220,215,100,385,-1980,-3945,1070,345,-1530,2385,-645,-2165,4285,2405,11285,2035,-1315,-2165,4285,2405,11285,649,1452,-52,-2484,-1182,-4144,-1247,-4144,-870,-7629,400,-2449,-406,-6120,6963,11196,-285,1045,6963,11196
6/28/2023,1395,-2345,1091,1670,-2230,-1094,1805,-2230,-1094,1805,-2875,-1094,2145,1020,20350,2765,-2005,10865,910,-3965,5398,-2450,-6050,-5616,-645,945,5121,-2605,-6050,-5616,1395,-2345,1640,1670,1385,-180,1805,1415,-180,1805,1415,-180,2145,1020,20575,2765,-2005,11520,910,-3965,8685,-5020,-16090,-34970,1540,-3260,13220,-5175,-16090,-34970,-5115,2717,-6295,1638,-6295,1638,-5225,1638,12355,19689,7335,6100,6177,3319,-4445,-4190,3720,6163,-4445,-4190
6/29/2023,-670,-3755,-4850,2430,-1335,-4850,2430,-1335,-4850,2430,-1335,-4850,2520,3472,11407,1290,1700,2963,2665,-1271,-3171,9760,-4368,-8368,2910,-605,3298,9655,-5350,-8933,-670,-6125,-11580,2430,-1335,-6870,2430,-1335,-6870,2430,-1335,-6870,2520,3935,17875,1290,2640,8590,2665,-595,7660,9760,4535,-21795,2475,190,6670,9655,4390,-22405,-2985,-5100,-1970,-5100,-2055,-5100,-2055,-5100,9690,14547,4183,6367,10585,11935,-5860,-7662,4065,3016,-5860,-7662
6/30/2023,2905,6205,4550,2005,8253,6310,2005,8813,7290,2005,8363,8435,4835,8525,18178,6540,5032,10837,7930,4003,8471,11923,-6722,-1602,2970,2050,-774,11923,-6722,-1602,2905,6205,6895,2005,6570,12070,2005,6570,12070,2005,6570,12070,4835,9625,21795,6540,5495,16200,7930,5160,17415,11250,-11005,-9765,6605,3660,17415,11250,-11005,-9765,-740,-2914,235,-2914,259,-2558,999,-2558,7696,11960,-70,1954,2512,4246,-5946,-3966,3750,-4745,-5946,-3966
7/3/2023,-1045,-2125,-1948,-1130,-2125,-1948,-1130,-2125,-1948,-1130,-2125,-1948,1680,3910,6456,-1665,-3420,-5401,-650,-1247,-4733,-4590,-5595,-7570,1495,995,921,-4590,-5595,-7570,-1045,-2125,-1995,-1130,-2220,-1995,-1130,-2220,-1995,-1130,-2220,-1995,1680,3910,7145,-1665,-3420,-5040,-650,-710,-1860,-8465,-18815,-34065,-650,-710,-1860,-8465,-18815,-34065,-2160,-2365,-2160,-2365,-2160,-2365,-2160,-2365,1900,2245,-3005,-7785,-2665,-6546,-5080,-7940,1560,-779,-5080,-7940
7/4/2023,2895,4250,8566,185,4250,8566,185,4250,8566,185,4250,8566,4100,4815,5782,3730,4940,8300,1185,7530,12105,4915,5731,6195,5,225,4062,4915,5731,6195,2895,5180,12590,185,2865,12590,185,2865,12590,185,2865,12590,4100,4815,6875,3730,4940,8300,1185,7530,12105,4915,9860,19205,1185,7530,12105,4915,9860,19205,-2005,-970,-2005,-970,-2005,-970,-2005,-970,4115,4920,955,1050,1515,7930,-3850,-4540,1030,4580,-3850,-4540
7/5/2023,3650,-2136,-2414,1835,-2116,-2414,1720,-2116,-2899,1720,-2066,-2909,10810,15614,16304,7740,11310,8585,12630,9370,7323,885,-4185,-7068,5950,7105,3681,835,-4185,-7068,3650,-2480,-2410,1835,2555,7335,1720,2440,7335,1720,2440,7335,10810,16070,20115,7740,13840,14020,12630,12635,11425,4310,-4100,-29225,7875,12950,12780,4260,-4100,-29225,-6180,-7915,-6180,-7915,-6180,-7915,-6180,-7915,19685,14532,8195,3333,6720,1368,-5040,-8790,-230,-1537,-5040,-8790
7/6/2023,75,-1320,1616,-160,-1575,1616,-85,-3290,1491,-85,-3310,3041,-2215,-6408,-8790,-2920,-3536,-6603,-4946,-6780,-8999,-5975,-6792,-6938,-3090,-3225,1898,-5975,-6792,-6938,75,-1320,-3205,-160,-140,-455,-85,-120,-455,-85,-120,-455,-2215,-6500,-12705,-2920,-4280,-9275,-4930,-7140,-15105,-7110,-14200,-24115,-5625,-7700,-16105,-7110,-14200,-24115,-2955,-6754,1440,-6754,1465,-6754,1570,-6754,-6395,-8305,-3854,-7990,-6965,-9000,-6955,-7325,-3140,1113,-6955,-7325
7/7/2023,3460,2546,13101,1120,1630,18386,890,1730,19311,1660,1725,15562,4245,5327,7228,1965,460,-98,2890,6159,-1645,-700,-1838,-5477,3815,2620,11493,-700,-1838,-5477,3460,3030,7470,1255,2170,7205,1010,3425,5370,1705,3635,6765,4245,5760,6015,1965,460,-4605,2890,985,-13420,-700,-10310,-45485,2340,755,-9680,-700,-10310,-46285,5746,13766,5095,14171,5520,14636,6365,11904,5900,8380,970,4745,944,-840,-6931,-1875,2550,7835,-6931,-1875
7/10/2023,1040,5245,-3023,-35,2600,-3023,-35,2600,-1727,-35,2600,-3964,3815,10165,11886,2800,8595,10465,3145,7485,6371,-2680,7372,-614,3345,6370,9890,-2680,7729,-614,1040,5245,-2390,-700,2065,3565,-700,2065,3565,-700,2065,3565,3815,10165,12845,2800,8595,10465,3145,7485,6820,-2680,9010,-1915,2230,7515,11505,-2680,8810,-350,435,-1536,-755,-1536,-755,-1536,-755,-1536,3975,1913,1105,-1260,4510,1285,-2720,-3977,2115,-3842,-2720,-3977
7/11/2023,-280,385,-3482,-750,-1955,-3482,-750,-1955,-3482,-750,-2175,-2482,-1015,-3787,-5910,-880,-1962,-5028,-2440,-3479,-7665,3075,635,-222,-4465,-2302,-5267,3075,635,-222,-280,-3850,-5950,-750,1265,-11355,-750,1265,-11355,-750,1265,-11355,-1015,-5445,-10795,-880,-3620,-8495,-2440,-6345,-10760,3075,1045,7320,-3665,-6345,-11640,3075,1045,7320,-4568,-6765,-4568,-6765,-4568,-6765,-4568,-6765,-1925,-4970,-2480,-5712,-1968,-4685,-3663,-1492,-3102,-8620,-3663,-1492
7/12/2023,-760,-5415,-2665,260,-5415,-2665,345,-5345,-2665,345,-5465,-1738,4815,3645,12592,650,-4120,-6292,3440,-884,-4766,-2665,-5074,-7067,3820,3880,5535,-2665,-5074,-7067,-760,-6025,-5410,260,-4875,-4085,345,-4930,-4225,345,-4930,-4225,4815,3645,13935,650,-4120,-4935,3440,-410,-3320,-4665,-25920,-49815,5605,-410,-2475,-4665,-25920,-49815,-831,-2159,-831,-2159,-3491,-2159,-3003,-2159,10010,25436,-89,-1660,1855,5245,-6795,-5919,2695,7310,-6795,-5919
7/13/2023,-135,-2240,-2190,-465,-1400,-655,-465,-1946,-655,-465,-2256,-655,-5560,-6740,-9000,-3050,-3945,-4343,-2660,-2178,-8966,5075,13490,10129,-1495,-3560,2595,5075,13490,10129,-135,-2240,5265,-465,-2205,-5360,-465,-1955,-5360,-465,-1955,-5360,-6120,-11035,-23040,-3050,-3945,-2305,-2660,-1805,-7965,5075,20445,73890,-4075,-1805,-7965,5075,20445,76080,-330,1648,230,2812,375,2812,-730,2812,-6605,-9000,-985,294,1985,325,10956,12893,-3660,1115,10956,12893
7/14/2023,990,475,-729,-760,-2245,-1289,-495,-1725,-2744,-265,-1942,-999,-1740,-3814,-8833,-3670,-6950,-8983,-4445,-6430,-8973,7214,-5970,-8947,-2690,-2045,-8015,7214,-2920,-8947,990,475,-2300,-825,-1835,-2925,-750,-1640,-2460,-475,-1420,-2460,-1740,-3745,-11800,-3670,-6875,-17580,-4445,-7930,-21100,7485,-9875,-19330,-2585,-7930,-21100,7485,-10505,-19530,1745,816,-620,-849,-920,-849,-920,-884,-6740,-8555,-6980,-8595,-6870,-8975,-6975,-8723,-1409,-7635,-6975,-8723
7/17/2023,-640,1295,4833,-1505,-1195,5534,-1505,-1195,5534,-1505,-1240,5534,-3510,-6840,-7595,1305,1973,12163,1540,5969,2721,7174,20063,8114,525,1675,2544,7174,20063,8114,-640,1295,10085,-1505,-3990,885,-1505,-3990,885,-1505,-3990,885,-3235,-7865,-14840,1305,2265,16320,1540,7175,13125,7860,30465,81720,1155,7965,15450,7860,30465,81720,1882,9023,-350,8542,-350,8542,-879,8542,-6570,-7470,4897,12703,7507,4694,16994,16111,565,-7470,16994,16111
7/18/2023,1110,1195,5158,775,2790,7428,1540,3715,6208,940,330,5401,-3880,-6785,-7842,-2945,-6255,-8925,-4665,-6720,-8995,-4730,-6560,-8310,-5355,-6245,-8980,-4730,-6560,-8310,1110,1195,6865,775,1685,5030,1540,2235,5400,940,2235,5400,-2860,-5765,-10305,-2945,-5285,-6945,-2945,-4620,-5695,-2730,-15420,-3155,-4200,-6125,-5695,-2730,-15420,-3155,2455,5207,2710,2837,4740,5182,205,5102,-6610,-8395,-2455,-8905,-2224,-8575,-6945,-8600,-6660,-5255,-6945,-8600
7/19/2023,-485,-4051,-4247,-535,-1195,-4703,-535,-195,-4703,-535,-195,-4703,1545,-1902,-3517,-1985,710,-7156,-2610,-3045,-8996,-507,1089,-4602,-2010,-3880,-4036,-507,2121,-4602,-485,-3615,-8975,-535,2010,-2925,-535,2010,-2925,-535,2010,-2925,1545,3040,3395,-1985,-810,-7680,-2610,-2795,-10900,1790,-780,-43505,-2025,-4215,-10190,1790,-930,-41205,-4603,-7296,-1805,-5063,-1805,-5063,-1805,-5063,-1302,-1457,-895,-5934,-4555,-5539,-3931,-6489,-5451,-5274,-3931,-6489
7/20/2023,1320,1835,11039,1350,1705,11049,3785,1270,10391,4180,1850,10734,-2130,-6455,-7913,490,836,-4716,1440,369,1045,9625,15001,37634,660,-6435,-5420,9610,14081,37634,1320,1835,11640,1350,1160,2025,3785,290,1965,1580,535,500,-2130,-7450,-14955,490,1335,1560,1440,690,6675,10860,25430,60545,1370,-3380,435,10845,24510,59745,5165,11572,5080,11572,4105,12537,8680,3667,-6135,-8716,4615,1719,7476,9990,21219,41619,-775,-4758,20834,41619
7/21/2023,340,364,-1950,495,-2305,-1950,10,-2040,-1993,135,-1005,-1713,910,-110,-2207,5075,4565,-798,3560,1157,-3228,6330,3322,9978,720,-6305,-1732,6330,3972,9978,340,-2390,-3010,495,-2820,-3900,10,-3290,-5015,135,-3290,-5015,910,-110,-9405,5075,4755,3375,3560,1380,-3445,7930,15360,35355,2750,135,1315,7930,16010,35355,-471,-649,-2355,-649,499,-2512,499,-1367,-510,-4635,4695,945,1218,-897,4508,17570,-375,1028,4198,17570
7/24/2023,-1560,-6100,-6745,-70,-6100,-6745,30,-6100,-6745,-500,-5315,-6745,2345,2172,10824,2185,6217,4042,3175,5672,3428,2100,-5568,-9000,530,-2235,2089,2100,-4513,-9000,-1560,-8750,-12815,-70,-5325,-14595,30,-5785,-14595,-500,-5785,-14595,2345,2590,12730,2185,6635,5820,3175,6090,8175,6165,925,-25790,2300,1380,9900,6165,925,-25790,-4715,-6103,-4715,-6103,-4715,-6103,-4715,-6103,7765,9281,-570,-2035,-470,469,-6910,-8855,-2635,185,-6910,-8855
7/25/2023,1130,-1210,-604,2060,-3105,-604,2060,-3105,-772,2060,-3105,1273,2955,3554,2746,295,3545,2482,3305,2915,6571,6060,1352,-8931,2015,2155,5191,6060,1352,-8931,1130,-1210,-275,2060,-1015,895,2060,-1015,895,2060,-1015,895,2955,4840,8920,295,3545,4625,3305,2915,9220,6060,10200,28320,1825,2915,9220,6060,10200,28320,-3445,-2705,-4445,-2705,-4445,-3098,-4445,-1053,2340,6057,2820,2391,-2398,4345,-2852,-8761,-1475,6710,-2852,-8761
7/26/2023,3775,11220,23547,1455,8100,22712,385,7599,22790,385,5842,22790,2770,9168,4920,4695,10090,7170,5475,4694,9019,10479,6602,4623,2355,6430,-1105,10479,7596,4623,3775,11220,24540,1455,6640,20440,385,6120,20440,385,6120,20440,2770,10255,14600,4695,10090,7170,5475,3750,10360,12675,8285,-30890,4645,3285,10360,12675,8080,-30890,11045,20579,8600,16470,8286,17326,8211,17326,9428,10883,8324,16415,5184,11360,13492,8533,1165,-2538,13492,8533
7/27/2023,3420,4195,3428,3620,2280,213,3995,-160,2538,2375,-280,3738,-635,-3665,-8981,955,5155,-8047,1915,-65,-8957,7185,14890,22730,-970,-6265,-2437,6820,13305,20459,3420,4195,4710,3620,2665,-185,3995,2320,5195,3075,2130,685,-635,-4230,-24200,955,5155,-11615,1915,-65,-4780,7185,13780,26525,1810,-1835,-8935,6820,12195,24000,2040,6649,2230,9424,3890,11719,9095,18504,-6305,-8544,-1230,-5725,-525,-8783,18555,27630,-4203,-2437,18555,27630
7/28/2023,705,6280,-2921,1825,6480,-2921,1205,3615,-2300,1205,2024,-2300,3220,9504,1125,1165,2725,8601,2905,474,-3624,3003,-5261,-6742,2755,2165,5804,3003,-5261,-6742,705,6280,365,1825,6875,-3330,1205,5975,-3330,1205,5975,-3330,3220,11765,12195,1165,2725,12805,2905,2845,1755,4195,-7750,-17235,3645,2845,1755,4195,-7750,-17235,2540,-1312,4710,-1312,3425,-1312,1945,-1312,13139,2500,-2364,8125,-548,7699,-5900,-6872,-875,8100,-5900,-6872
7/31/2023,1690,-1535,-2145,300,-1010,-2145,-565,-85,-1648,-565,865,-1648,3255,1910,-3312,6495,11540,14829,7750,9680,11185,8853,10565,-1299,1420,555,-3825,8743,10525,-1299,1690,-1035,-7745,300,-5500,-9745,-565,-5500,-9745,-565,-5500,-9745,3255,2515,430,6495,11540,16620,7750,10385,13210,9850,31240,57685,6800,9685,13210,9740,31200,57685,-1468,-5738,-1468,-5738,-1468,-5738,-1468,-5738,-2713,-3410,10845,-3053,10797,-6105,1952,-5683,-2935,-3395,1952,-5683
8/1/2023,3745,5645,-842,3210,7544,-842,3210,7544,-842,3210,7544,-842,5535,6572,5918,5705,6267,9524,7400,14113,14614,7170,-2446,-5642,2340,1895,6365,7170,-2446,-5642,3745,5645,80,2925,7670,2440,3065,7670,2440,3065,7670,2440,6265,11585,18845,5705,6760,12265,7400,13930,19220,7170,-285,-15240,8125,15315,17445,7170,-285,-15240,-1955,-7194,522,-7194,522,-7194,522,-7194,-3125,-2310,-140,2288,4010,1815,-4111,-7869,150,4860,-4111,-7869
8/2/2023,3765,8425,3793,3775,8225,10732,3315,8095,10695,4260,9460,14588,1775,323,-8930,4235,11330,11530,4175,16809,7493,9272,17595,-4728,415,2960,-8930,9272,19585,-4728,3765,8425,4685,3775,8320,18005,3315,8380,17465,3620,8740,18065,1775,3820,-1360,4235,11330,12410,4175,18015,13885,10160,21105,41005,3870,17050,12835,10160,23095,41005,2370,-2423,2410,5586,2255,5586,4820,5351,-1130,-8605,10180,13045,10835,11403,715,-5062,6400,-8605,715,-5062
8/3/2023,3270,830,2289,2000,-35,2289,1875,2660,560,1875,5955,2382,5605,7421,7101,5250,2705,273,4260,8940,1964,12925,466,-8224,2600,1560,556,13525,466,-8224,3270,830,-425,2000,-775,7280,1875,-810,7280,1875,-810,7280,5605,8365,14670,5250,2705,-325,4260,8940,-2385,12790,1585,-25610,3595,8940,-3390,13390,1585,-25610,-535,386,-3845,763,-2709,1461,-1799,2956,5365,7650,3896,408,1985,1871,-2989,-8948,-475,4424,-2989,-8948
8/4/2023,2565,5505,5686,380,3865,5850,1100,1270,2306,1485,-861,5516,3785,3135,6604,3275,105,-8040,3425,765,-4589,8015,7733,29422,3810,3940,7694,7720,7733,29422,2565,5505,4170,800,4070,7480,1100,4100,7325,1485,5035,8885,3785,3135,2750,3275,105,-5740,3425,765,-4295,8715,-4275,-10950,3765,1070,-7985,8440,-4275,-9430,8350,11155,6150,10992,5310,8344,4780,12597,1500,5646,510,-4044,-525,-282,13600,30704,2965,-3419,13240,30704
8/7/2023,510,-1135,-624,-1605,-1715,-1158,-1605,-1715,-1996,-1605,-1715,-1996,-4955,-6985,-7648,-2755,-6061,-8900,-4455,-6995,-8960,-370,4074,-3754,780,-2720,668,-385,3999,-3754,510,-1135,-1520,-1605,-4445,-7455,-1605,-4445,-7455,-1605,-4445,-7455,-4955,-9180,-19125,-2755,-7440,-14305,-4455,-13370,-22275,-370,11615,8405,-3900,-12265,-22275,-385,11540,6875,-2553,582,-2437,-738,-2437,-738,-2437,-738,-6905,-8875,-3265,-8775,-5350,-8950,-4495,-7689,-1305,2995,-4495,-7689
8/8/2023,1805,3760,4673,1785,3595,4673,1665,1500,4798,1665,-840,1030,-3490,-6885,-7720,-4995,-6735,-8840,-5915,-6995,-9000,-5825,-6430,-4297,-335,1125,2712,-5825,-6430,-4297,1805,3760,5325,1785,4130,5930,1665,4100,5930,1665,4100,5930,-3490,-7985,-16340,-4995,-13035,-23715,-7485,-15105,-31085,-7505,-23035,-58835,-7170,-14000,-31085,-7505,-23035,-58835,3245,4809,3959,4809,4049,4919,3949,4559,-5690,-8015,-5875,-8025,-6335,-6907,-669,1571,-1230,3679,-244,1571
8/9/2023,5170,6375,9568,4115,5875,7998,4485,3850,7888,4780,-1441,4222,2730,6621,-183,3925,8605,19289,6660,17975,22933,9045,11317,11203,1450,1415,10749,8083,11317,11203,5170,6375,10685,4115,6875,6220,4485,7215,5995,4780,7415,5995,2730,7665,18000,3925,8705,20280,6660,16710,23480,9995,11395,23125,5040,6690,21275,10035,11395,23125,4515,11098,4080,6616,5470,6341,537,2171,8690,-1485,7070,15383,11550,15445,338,984,4200,8739,338,984
8/10/2023,3990,3130,-5911,2070,1820,-7453,1405,-1080,-5916,3380,-1618,-6307,125,-3582,-2887,10,-565,-7215,-2535,-6110,-8350,8775,-6880,-8830,-3330,-3714,-8705,8675,-6885,-7885,3990,3130,-4690,2070,2720,-2085,1405,2020,-1525,1510,2400,-1525,125,50,-7935,10,355,-6815,-2585,-2735,-3240,8775,23690,16305,-2460,-2540,-3960,8675,22580,18130,1380,-2265,-390,-1855,-400,-4939,-3480,-2585,-3490,-402,620,-8905,-3236,-7645,-6740,-8462,-6215,-8200,-6740,-8462
8/11/2023,-635,-2818,-6035,1980,4125,-4884,1980,1291,-4884,1980,1291,-4884,3145,6899,13262,2240,4706,2867,4180,8493,20142,-1090,-2779,-4942,3205,3622,13865,-1090,-2779,-4942,-635,-6205,-12065,1980,4575,-4920,1980,4575,-4920,1980,4575,-4920,3145,7655,21145,2240,6685,5965,4180,9455,27365,-1345,-9515,-5710,3620,7725,26550,-1345,-9515,-5710,-6800,-4684,-5180,-4684,-5180,-4684,-5180,-4684,6740,24429,-712,-5093,1155,12491,-5480,-6682,735,18579,-5480,-6682
8/14/2023,-895,-500,1793,1245,2120,1793,1055,2295,1471,1055,1715,1646,-1035,-4786,-4741,1950,-4245,-3340,-980,-1711,-4445,3438,3568,2334,-175,-4666,-3151,3438,2678,2334,-895,-500,2985,1245,2070,240,1055,2320,-385,1055,2320,-385,-1035,-5630,-8810,1950,-875,8985,-980,2345,7265,5700,21730,67705,-1605,1255,6045,5700,20840,67705,405,5428,-355,3940,-85,3940,-65,5318,-3250,-2271,761,198,1545,22,3886,5691,-3576,-4727,2996,5691
8/15/2023,-745,-1135,-760,-1660,-2865,-4645,-1940,-400,-2189,-2020,315,-1985,1435,-2450,-1180,2555,2918,6660,1345,1772,6409,6053,972,4140,-235,-455,-3824,5933,972,3330,-745,-1135,-4330,-1660,-2865,-6130,-1940,-3535,-9560,-2020,-3535,-9560,1435,-2450,-5550,2555,3880,11105,1345,3040,10790,12960,21725,78225,1345,3040,13185,12840,20730,77415,1805,3337,1325,6007,820,5962,820,5962,-2820,3852,6677,25497,8072,26386,14107,14545,-55,7784,14107,14545
8/16/2023,2250,645,-2828,2125,755,-2828,2630,3230,-3038,4215,666,-3097,2900,5415,7644,2020,3215,3446,3230,5030,4922,4275,-6955,-3264,650,-2475,-6975,4155,-6955,-3264,2250,645,-1110,2125,5610,-1045,2165,5705,-1350,2280,5940,-1350,2900,5415,6700,2020,3595,7810,3230,5410,11985,6420,15490,25410,1555,5145,8100,6300,14885,24330,90,3845,620,3845,-535,7494,540,9009,9496,8754,6355,7886,5875,14561,-6895,-9000,3810,-1058,-6895,-9000
8/17/2023,3600,3650,1397,2135,2680,4552,2725,5490,4046,2605,4931,3290,3435,1845,-2524,2425,483,-4012,5640,-1652,-3344,6285,11310,10467,3440,-770,2759,6285,10180,10467,3600,3650,2385,2135,1565,3535,2725,1850,6395,2605,2035,4355,3435,1845,-2040,2425,4590,3090,5640,4825,780,9210,17575,34220,6235,3125,-65,9210,16445,33240,4595,-165,5190,4565,4630,-165,4855,-165,1705,-3249,2805,-834,4950,337,13750,13573,775,755,13295,13573
8/18/2023,-390,6245,19379,-1015,4805,19379,-1175,8480,19339,-1175,10105,18304,-890,-3649,2110,180,7965,22485,-335,2930,9143,3610,16855,8056,-1530,-4735,-2228,3610,16855,8056,-390,6245,20890,-1015,2840,14645,-1175,2840,14645,-1175,2840,14645,-890,-3405,-2470,180,7965,22485,-335,3085,8865,3610,28345,78825,-735,2415,8865,3610,28345,78825,7400,17566,5895,17566,6750,17374,6650,17124,-3545,1650,7250,22350,6188,15816,9220,3218,1400,-6031,9220,3218
8/21/2023,1010,1126,9745,235,1126,8455,-490,1111,9745,-345,2280,9745,-2160,-5895,-7793,-1870,-2325,-3913,-1370,-4155,-5988,-2255,2120,17292,1560,3665,32,-2255,2120,17292,1010,2545,10105,150,2305,5835,400,3210,6085,875,4205,8025,-2160,-5115,-10785,-1870,-2325,-2690,-1370,-3225,-5580,-1900,-1880,24880,-1860,275,-6675,-1900,-1880,24880,2100,9550,2100,7150,2100,7150,2957,7150,-5850,-8334,-1096,-95,2280,3562,8670,14264,2179,1421,8670,14264
8/22/2023,2625,-235,1535,1065,1495,1535,-120,1987,1365,-120,797,1689,1325,9410,930,6300,13870,8893,7155,9940,11848,14357,9292,5044,2250,1395,3460,14357,5330,5044,2625,-235,3250,1065,-305,365,-120,-905,365,-120,-905,365,1325,9410,2830,6300,13870,11655,7155,10600,13875,16140,19875,26290,7130,9290,12780,16140,18300,26290,-640,3615,-1820,3615,-1820,3615,-1820,3615,8750,6719,13530,7817,8600,670,-1159,-7598,-1400,7867,-1414,-7598
8/23/2023,3845,7154,12813,3065,5684,12813,4620,6115,11852,4510,6413,14867,2955,2407,-1957,5660,10435,15263,5670,11217,18925,8360,4500,-3697,1705,1895,-5580,8360,4500,-3697,3845,8105,15840,3065,4530,12655,3095,4565,12770,3155,4565,12770,2955,4265,765,5660,10435,17600,5670,11895,21510,8360,22300,-9655,4085,14600,21510,8360,22300,-9655,4359,373,2894,373,2875,847,2883,2738,1875,2247,8320,5294,14710,5851,-3844,3196,1800,-4685,-3844,3196
8/24/2023,1020,4860,6119,2390,1975,5769,2140,3255,5333,2845,395,4166,-5680,-6984,-8952,-170,570,-6381,-2175,-1748,-8999,13065,21973,34157,-3620,-5400,-8375,13302,20498,35612,1020,4860,6800,2390,1975,2810,2140,1730,3130,2350,2580,2700,-5680,-14530,-31960,-170,570,-4700,-2175,-1490,-15115,13785,26540,53495,-1080,-1015,-13980,13540,24765,53325,5240,8729,3470,6990,4725,7185,4100,6296,-7000,-8955,5,-7616,-800,-5053,19596,44903,-6955,-7105,19406,44903
