,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
AVG WIN day $,1650,3262,5748,2117,3186,5982,2198,3489,5703,1626,3063,5789,1711,4983,10132,2034,4764,8832,3677,4634,11596,2904,6664,6758,2236,3435,4076,4408,6449,11478,1563,3304,6050,2117,3217,6467,2102,3468,5839,1701,3422,6175,1909,5416,12635,2219,4829,10671,3771,7033,14031,3621,8594,31363,2498,6693,13570,4417,8975,32142,3083,5500,2918,5950,3077,5497,2891,5829,5372,10207,4459,8111,5685,9833,7412,15766,3087,4511,7124,14182
AVG LOSS day $,-560,-1655,-3319,-927,-1700,-3215,-1003,-1729,-3205,-487,-1459,-3210,-961,-3919,-6001,-1063,-2742,-5245,-1884,-1488,-5846,-614,-3569,-2253,-1020,-2540,-3727,-1730,-3026,-5499,-492,-1737,-3839,-927,-1714,-3669,-971,-1714,-4020,-827,-1926,-4172,-969,-4628,-10584,-1033,-2843,-7116,-2068,-3699,-9549,-1196,-4642,-22803,-1020,-3792,-9643,-1695,-5216,-23206,-1703,-2979,-1638,-3573,-1672,-3060,-1602,-3511,-4310,-6045,-2678,-4257,-3548,-5375,-4231,-5798,-2185,-4426,-4201,-5605
PAYOFF (win/loss),2.95,1.97,1.73,2.28,1.87,1.86,2.19,2.02,1.78,3.34,2.1,1.8,1.78,1.27,1.69,1.91,1.74,1.68,1.95,3.11,1.98,4.73,1.87,3,2.19,1.35,1.09,2.55,2.13,2.09,3.18,1.9,1.58,2.28,1.88,1.76,2.16,2.02,1.45,2.06,1.78,1.48,1.97,1.17,1.19,2.15,1.7,1.5,1.82,1.9,1.47,3.03,1.85,1.38,2.45,1.77,1.41,2.61,1.72,1.39,1.81,1.85,1.78,1.67,1.84,1.8,1.8,1.66,1.25,1.69,1.66,1.91,1.6,1.83,1.75,2.72,1.41,1.02,1.7,2.53
(context) true MAX DRAWDOWN $,-2830,-12582,-40066,-6755,-13899,-36080,-6106,-13876,-41974,-3505,-16091,-34448,-7295,-44200,-96323,-7745,-25551,-48100,-16913,-14948,-58305,-2155,-19094,-36966,-6330,-18030,-64238,-8051,-14063,-65864,-2610,-14247,-47886,-6755,-13089,-38596,-6694,-16173,-51768,-4290,-17775,-57010,-8090,-60700,-155740,-7745,-29260,-74642,-18481,-30536,-88114,-6521,-26252,-296395,-6570,-33225,-82735,-8051,-34186,-311727,-14713,-32618,-21257,-34599,-12518,-35918,-18075,-33562,-50415,-82880,-24868,-55427,-32390,-78734,-47062,-89038,-21159,-86797,-47792,-72137
maxDD 7-day $,-2830,-12582,-33569,-6755,-12000,-24078,-6106,-13876,-28800,-3100,-14484,-25625,-7295,-26067,-42736,-7745,-23115,-38506,-16913,-11922,-44764,-2155,-16736,-20002,-6330,-18030,-35985,-8051,-14063,-37926,-2610,-14232,-34136,-6755,-12000,-33699,-6694,-14207,-36927,-4290,-14551,-36467,-8090,-42234,-90024,-7745,-26695,-60252,-18481,-30536,-76761,-6521,-26252,-236037,-6570,-33225,-78790,-8051,-34186,-241819,-12323,-26110,-20615,-30892,-12518,-29626,-18075,-31029,-26692,-43667,-21781,-36451,-28088,-43051,-35339,-51435,-18484,-42430,-35344,-51872
maxDD 30-day $,-2830,-12582,-40066,-6755,-13899,-36080,-6106,-13876,-41974,-3505,-16091,-34448,-7295,-44200,-96323,-7745,-25551,-48100,-16913,-14948,-58305,-2155,-19094,-36063,-6330,-18030,-46433,-8051,-14063,-65864,-2610,-14247,-47886,-6755,-13089,-38596,-6694,-16173,-51768,-4290,-17775,-57010,-8090,-60700,-155740,-7745,-29260,-74642,-18481,-30536,-88114,-6521,-26252,-296395,-6570,-33225,-82735,-8051,-34186,-311727,-14713,-32618,-21257,-34599,-12518,-35918,-18075,-33562,-50415,-81308,-24868,-55427,-32390,-78734,-47062,-89038,-21159,-58867,-47792,-72137
ret / maxDD30,349.5,116.4,39.0,159.2,101.7,49.7,167.1,104.1,35.9,230.5,91.2,51.3,135.6,34.8,14.9,159.2,79.9,48.7,107.3,91.9,40.7,809.3,160.5,41.5,215.4,64.4,10.1,335.2,240.5,45.2,370.2,110.7,33.1,159.2,109.4,46.3,151.7,92.0,30.8,205.3,73.1,27.4,138.3,30.1,12.8,171.1,70.5,38.4,101.5,101.8,40.8,371.0,157.8,23.3,240.1,85.7,38.9,338.0,120.5,22.1,83.0,43.6,47.9,49.6,93.7,39.0,54.2,50.0,21.9,15.0,57.3,37.7,56.6,25.9,47.3,30.7,30.3,6.6,43.5,50.4
avg peak capital $,2414,2757,5852,1462,2908,6714,1537,2886,6227,1776,4178,6536,2530,2944,6053,2044,3392,6783,1729,2854,6504,2889,3952,6317,2530,3938,5480,2726,7112,8352,2414,2757,5876,1462,2908,6801,1537,2886,6255,2056,3393,6598,2580,2997,6327,2052,3396,6885,1729,3134,6611,3613,4154,9106,2590,2945,6478,2739,4155,9072,3312,5465,4365,5591,3186,5504,4253,5559,3433,5629,4717,5660,3655,5773,6872,5775,3161,5214,6832,9950
ret on capital (daily $/$),0.536,0.694,0.349,0.962,0.635,0.349,0.867,0.654,0.316,0.595,0.459,0.354,0.511,0.682,0.309,0.789,0.787,0.451,1.371,0.629,0.476,0.789,1.014,0.309,0.704,0.385,0.112,1.294,0.622,0.466,0.523,0.748,0.353,0.962,0.644,0.344,0.864,0.674,0.333,0.56,0.5,0.309,0.567,0.797,0.411,0.845,0.794,0.545,1.419,1.297,0.712,0.875,1.304,0.99,0.796,1.265,0.649,1.299,1.296,0.994,0.482,0.34,0.305,0.402,0.481,0.333,0.301,0.395,0.42,0.282,0.395,0.483,0.655,0.461,0.424,0.618,0.265,0.098,0.398,0.477
profitScore ($20-norm),2586,1914,1021,2812,1847,1172,2666,1888,985,2112,1918,1156,2586,2009,937,3224,2668,1531,4742,1795,1550,4560,4007,978,3564,1517,307,7056,4422,1948,2526,2061,1037,2812,1872,1169,2656,1946,1041,2302,1698,1021,2926,2389,1301,3466,2696,1876,4906,4064,2352,6326,5416,4509,4124,3724,2103,7114,5383,4510,1596,929,1332,1123,1534,916,1280,1098,1442,795,1863,1367,2395,1332,2912,1784,839,255,2718,2375
