,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
AVG WIN day $,1648,3367,4722,2041,3216,5190,2227,3470,4822,1626,2922,5954,1937,4969,9391,2139,4658,9016,3391,5062,12194,3221,7809,5126,2421,3157,3702,4033,6659,11778,1563,3304,6050,2117,3217,6467,2102,3468,5839,1701,3422,6175,1909,5416,12635,2219,4829,10671,3771,7033,14031,3621,8594,31363,2498,6693,13570,4417,8975,32142,3099,5397,2860,5760,3076,5049,2728,5738,5481,10207,4338,7917,6304,9924,8467,13282,3087,4035,8461,14181
AVG LOSS day $,-560,-1655,-2543,-789,-1700,-2852,-913,-1626,-2739,-487,-1099,-3207,-901,-2991,-4804,-824,-2256,-4380,-1312,-1485,-5872,-765,-3097,-1756,-849,-1427,-2769,-1151,-2249,-4398,-492,-1737,-3839,-927,-1714,-3669,-971,-1714,-4020,-827,-1926,-4172,-969,-4628,-10584,-1033,-2843,-7116,-2068,-3699,-9549,-1196,-4642,-22803,-1020,-3792,-9643,-1695,-5216,-23206,-1559,-2788,-1568,-3376,-1626,-2624,-1391,-3126,-3081,-6045,-2234,-3945,-3481,-5320,-4080,-4500,-2185,-2918,-4069,-4617
PAYOFF (win/loss),2.94,2.03,1.86,2.59,1.89,1.82,2.44,2.13,1.76,3.34,2.66,1.86,2.15,1.66,1.95,2.6,2.06,2.06,2.58,3.41,2.08,4.21,2.52,2.92,2.85,2.21,1.34,3.5,2.96,2.68,3.18,1.9,1.58,2.28,1.88,1.76,2.16,2.02,1.45,2.06,1.78,1.48,1.97,1.17,1.19,2.15,1.7,1.5,1.82,1.9,1.47,3.03,1.85,1.38,2.45,1.77,1.41,2.61,1.72,1.39,1.99,1.94,1.82,1.71,1.89,1.92,1.96,1.84,1.78,1.69,1.94,2.01,1.81,1.87,2.08,2.95,1.41,1.38,2.08,3.07
(context) true MAX DRAWDOWN $,-2830,-12582,-29040,-5705,-13899,-27630,-5078,-12253,-28479,-3505,-6821,-34448,-4340,-38909,-73594,-4505,-13753,-44867,-8312,-14948,-59147,-2440,-14916,-20669,-2991,-9346,-37619,-4045,-9883,-46028,-2610,-14247,-47886,-6755,-13089,-38596,-6694,-16173,-51768,-4290,-17775,-57010,-8090,-60700,-155740,-7745,-29260,-74642,-18481,-30536,-88114,-6521,-26252,-296395,-6570,-33225,-82735,-8051,-34186,-311727,-11800,-32854,-21113,-33919,-10796,-33919,-16150,-25700,-44900,-82880,-22655,-46258,-31399,-62670,-52777,-61194,-21159,-39728,-52892,-54781
maxDD 7-day $,-2830,-12582,-21641,-5705,-12000,-19611,-5078,-11270,-20908,-3100,-6821,-25625,-4340,-18645,-40441,-4505,-13753,-31035,-8312,-11922,-44764,-2440,-14916,-14051,-2991,-9346,-21112,-4045,-9883,-35736,-2610,-14232,-34136,-6755,-12000,-33699,-6694,-14207,-36927,-4290,-14551,-36467,-8090,-42234,-90024,-7745,-26695,-60252,-18481,-30536,-76761,-6521,-26252,-236037,-6570,-33225,-78790,-8051,-34186,-241819,-10260,-22714,-20593,-31730,-10053,-22821,-16150,-25693,-19748,-43667,-19670,-27271,-25820,-40287,-36848,-39918,-18484,-25233,-36848,-40764
maxDD 30-day $,-2830,-12582,-29040,-5705,-13899,-27630,-5078,-12253,-28479,-3505,-6821,-34448,-4340,-38909,-73594,-4505,-13753,-44867,-8312,-14948,-59147,-2440,-14916,-20669,-2991,-9346,-36444,-4045,-9883,-46028,-2610,-14247,-47886,-6755,-13089,-38596,-6694,-16173,-51768,-4290,-17775,-57010,-8090,-60700,-155740,-7745,-29260,-74642,-18481,-30536,-88114,-6521,-26252,-296395,-6570,-33225,-82735,-8051,-34186,-311727,-11800,-32854,-21113,-33919,-10796,-33919,-16150,-25700,-44900,-81308,-22655,-46258,-31399,-62670,-52777,-61194,-21159,-39432,-52892,-54781
ret / maxDD30,348.8,121.0,48.7,178.6,102.9,56.2,203.9,118.2,46.5,230.5,203.5,53.3,239.7,35.8,18.4,267.3,135.1,48.1,191.8,101.9,43.6,850.1,232.5,59.0,467.8,118.8,11.2,605.3,342.6,60.5,370.2,110.7,33.1,159.2,109.4,46.3,151.7,92.0,30.8,205.3,73.1,27.4,138.3,30.1,12.8,171.1,70.5,38.4,101.5,101.8,40.8,371.0,157.8,23.3,240.1,85.7,38.9,338.0,120.5,22.1,99.6,43.3,47.9,49.5,107.1,40.9,60.4,64.0,23.9,15.0,59.0,42.5,63.0,31.2,45.3,38.0,30.3,11.4,45.0,62.9
avg peak capital $,2414,2757,5555,1452,2908,6493,1533,2882,5995,1776,4347,6536,2531,2917,5978,1981,3369,6697,1703,2854,6504,3247,3929,6109,2472,3840,4486,2496,6850,8104,2414,2757,5876,1462,2908,6801,1537,2886,6255,2056,3393,6598,2580,2997,6327,2052,3396,6885,1729,3134,6611,3613,4154,9106,2590,2945,6478,2739,4155,9072,3304,5462,4314,5591,3175,5377,4286,5553,3342,5629,4595,5655,3656,5770,6963,5742,3161,4407,6962,9437
ret on capital (daily $/$),0.534,0.722,0.333,0.917,0.643,0.313,0.883,0.657,0.289,0.595,0.417,0.367,0.537,0.624,0.296,0.795,0.721,0.422,1.224,0.698,0.518,0.835,1.154,0.261,0.74,0.378,0.119,1.282,0.646,0.45,0.523,0.748,0.353,0.962,0.644,0.344,0.864,0.674,0.333,0.56,0.5,0.309,0.567,0.797,0.411,0.845,0.794,0.545,1.419,1.297,0.712,0.875,1.304,0.99,0.796,1.265,0.649,1.299,1.296,0.994,0.465,0.34,0.306,0.392,0.476,0.337,0.297,0.387,0.419,0.282,0.38,0.455,0.707,0.443,0.449,0.529,0.265,0.133,0.447,0.477
profitScore ($20-norm),2580,1990,924,2664,1869,1015,2708,1893,866,2112,1814,1201,2720,1820,886,3148,2428,1412,4168,1991,1685,5422,4534,797,3658,1451,267,6402,4426,1822,2526,2061,1037,2812,1872,1169,2656,1946,1041,2302,1698,1021,2926,2389,1301,3466,2696,1876,4906,4064,2352,6326,5416,4509,4124,3724,2103,7114,5383,4510,1536,930,1322,1097,1511,906,1275,1075,1400,795,1747,1287,2586,1279,3125,1519,839,293,3110,2253
