,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
AVG WIN day $,2084,3815,6041,2117,3710,5864,2102,3498,5912,1844,3588,6017,3080,6329,10573,2852,5449,9262,3763,7267,11163,2964,10145,13476,2347,2999,4038,5922,9213,13472,2084,3809,6516,2117,3684,6352,2102,3614,6400,1704,3428,6241,3094,6681,12836,2850,5838,10264,3771,7390,13272,6270,14697,35474,3572,6994,12974,6219,14544,34991,3756,6407,3755,6414,3731,6440,3587,6247,6185,10082,5079,8249,6204,9931,10969,16688,3533,4534,9872,16006
AVG LOSS day $,-862,-1870,-3142,-927,-1868,-3225,-971,-1825,-3204,-907,-1765,-3152,-2288,-4172,-5784,-1763,-2986,-4666,-2059,-3218,-5482,-669,-4195,-5456,-1350,-2217,-3908,-2767,-3526,-5227,-862,-2024,-4168,-927,-2073,-4247,-971,-2095,-4153,-819,-1927,-4140,-2243,-5090,-10610,-1755,-3314,-6757,-2068,-3453,-8063,-3290,-9188,-26116,-1927,-3260,-8043,-3255,-9286,-26164,-2224,-3610,-2270,-3578,-2292,-3632,-2239,-3589,-4348,-6048,-3007,-4398,-3366,-5103,-4530,-5842,-3456,-4730,-4385,-5395
PAYOFF (win/loss),2.42,2.04,1.92,2.28,1.99,1.82,2.16,1.92,1.85,2.03,2.03,1.91,1.35,1.52,1.83,1.62,1.82,1.98,1.83,2.26,2.04,4.43,2.42,2.47,1.74,1.35,1.03,2.14,2.61,2.58,2.42,1.88,1.56,2.28,1.78,1.5,2.16,1.72,1.54,2.08,1.78,1.51,1.38,1.31,1.21,1.62,1.76,1.52,1.82,2.14,1.65,1.91,1.6,1.36,1.85,2.15,1.61,1.91,1.57,1.34,1.69,1.77,1.65,1.79,1.63,1.77,1.6,1.74,1.42,1.67,1.69,1.88,1.84,1.95,2.42,2.86,1.02,0.96,2.25,2.97
(context) true MAX DRAWDOWN $,-8210,-14602,-28427,-6755,-13754,-30414,-6694,-17844,-26991,-6509,-16943,-31015,-14777,-34253,-71999,-15958,-23636,-47799,-17376,-25838,-47520,-3060,-28647,-56196,-10835,-22976,-44419,-18126,-15704,-55786,-8210,-20934,-44735,-6755,-19284,-42888,-6694,-19827,-46001,-4300,-17015,-56561,-14667,-45579,-117865,-15958,-29598,-85912,-18481,-29535,-103948,-16434,-66172,-354986,-18045,-29657,-97417,-15864,-67877,-351214,-19482,-30420,-24497,-30594,-25766,-30865,-19482,-30420,-60467,-108976,-29855,-52712,-32784,-58484,-72219,-83951,-38478,-58507,-71467,-63688
maxDD 7-day $,-8210,-14602,-24081,-6755,-13754,-28286,-6694,-16849,-26991,-6509,-11159,-22889,-14123,-29226,-44691,-15958,-23636,-35839,-17376,-25838,-45364,-3060,-25142,-37711,-10835,-18869,-29951,-18126,-15704,-37892,-8210,-15602,-31319,-6755,-14750,-30148,-6694,-13708,-28670,-4300,-14341,-36222,-14667,-41606,-83915,-15958,-29598,-53589,-18481,-29535,-63084,-16434,-66172,-266192,-18045,-29657,-57467,-15864,-67877,-260239,-19482,-30265,-20165,-30594,-19640,-30865,-19482,-30265,-32857,-48417,-23284,-35388,-28418,-48938,-39319,-50500,-28335,-40115,-39128,-51101
maxDD 30-day $,-8210,-14602,-28427,-6755,-13754,-30414,-6694,-17844,-26991,-6509,-16943,-31015,-14777,-34253,-71999,-15958,-23636,-47799,-17376,-25838,-47520,-3060,-28647,-56196,-10835,-22976,-44419,-18126,-15704,-55786,-8210,-20934,-44735,-6755,-19284,-42888,-6694,-19827,-46001,-4300,-17015,-56561,-14667,-45579,-117865,-15958,-29598,-85912,-18481,-29535,-103948,-16434,-66172,-354986,-18045,-29657,-97417,-15864,-67877,-351214,-19482,-30420,-24497,-30594,-25766,-30865,-19482,-30420,-44454,-85470,-29855,-52712,-32784,-58484,-72219,-83951,-37709,-58507,-71467,-63688
ret / maxDD30,137.3,118.6,70.3,159.2,122.5,64.5,151.7,84.7,71.8,150.2,105.3,63.1,78.6,50.7,24.0,91.1,96.5,56.5,108.2,117.1,63.9,488.3,123.9,50.1,90.9,47.1,12.9,160.5,277.9,56.5,137.3,81.6,46.1,159.2,85.7,47.2,151.7,78.2,43.0,202.0,77.1,28.3,81.9,43.0,19.9,91.2,84.2,33.8,101.5,106.4,36.6,192.6,84.1,20.7,97.9,97.5,36.4,195.6,80.5,20.6,69.9,67.4,54.9,66.4,51.7,66.1,66.5,64.7,30.0,17.8,63.3,48.3,74.8,53.9,35.4,34.1,18.6,9.5,34.9,62.0
avg peak capital $,1478,3076,7140,1462,3224,7279,1537,2914,7452,1786,4949,7096,1584,3336,7111,1571,3039,7469,1729,3906,8079,2052,3238,7089,1453,4603,5898,1991,7410,8770,1478,3078,7258,1462,3226,7415,1537,3316,7592,2057,3412,6616,1591,3392,7519,1571,3397,7609,1729,3931,8379,2099,3524,9821,1496,3401,7855,2026,3516,9768,2807,5771,2832,5802,2860,5836,2893,5778,2914,5877,2910,5870,3015,5932,2919,5831,2776,5330,4114,10486
ret on capital (daily $/$),0.997,0.736,0.366,0.962,0.683,0.352,0.864,0.678,0.34,0.716,0.471,0.36,0.958,0.681,0.318,1.21,0.982,0.473,1.421,1.013,0.491,0.952,1.433,0.52,0.886,0.307,0.127,1.91,0.77,0.469,0.997,0.725,0.371,0.962,0.669,0.357,0.864,0.611,0.34,0.552,0.503,0.317,0.986,0.756,0.409,1.211,0.959,0.499,1.419,1.045,0.593,1.971,2.065,0.976,1.543,1.112,0.59,2.002,2.032,0.967,0.634,0.464,0.62,0.458,0.609,0.457,0.586,0.446,0.598,0.339,0.849,0.567,1.063,0.695,1.143,0.641,0.33,0.136,0.793,0.492
profitScore ($20-norm),2948,2264,1306,2812,2203,1283,2656,1976,1266,2556,2331,1279,3036,2271,1132,3802,2983,1767,4914,3955,1984,3906,4640,1842,2576,1413,376,7604,5704,2059,2948,2233,1348,2812,2159,1322,2656,2027,1292,2270,1715,1047,3138,2564,1537,3804,3258,1899,4906,4106,2486,8274,7278,4792,4618,3781,2317,8112,7143,4722,1781,1340,1757,1329,1742,1333,1694,1288,1743,997,2472,1664,3206,2061,3337,1869,916,363,3262,2580
