,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
AVG WIN day $,1625,3300,4786,2029,3163,5206,2148,3460,4811,1608,2826,5891,1921,4969,9475,2133,4628,9068,3398,5064,11875,3220,7712,4923,2388,3139,3652,3977,6600,11578,1557,3306,6039,2088,3159,6453,2085,3481,5756,1691,3356,6130,1889,5382,12622,2217,4823,10658,3697,6918,13814,3632,8523,31187,2507,6596,13780,4365,8944,32042,3101,5327,2855,5670,3072,4927,2740,5757,5457,10329,4282,7959,6246,9845,8420,13292,3087,4010,8413,14170
AVG LOSS day $,-589,-1618,-2522,-798,-1736,-2857,-987,-1596,-2747,-509,-1119,-3229,-933,-2982,-4769,-855,-2267,-4329,-1272,-1499,-6024,-792,-3218,-1770,-828,-1429,-2781,-1159,-2248,-4410,-508,-1683,-3835,-942,-1745,-3632,-991,-1737,-4047,-812,-1959,-4209,-1022,-4557,-10625,-1041,-2920,-7154,-2047,-3658,-9682,-1264,-4645,-23016,-1062,-3794,-9741,-1911,-5302,-23480,-1638,-2916,-1589,-3432,-1654,-2605,-1413,-3127,-3092,-6021,-2269,-3921,-3546,-5242,-4155,-4507,-2221,-2909,-4142,-4616
PAYOFF (win/loss),2.76,2.04,1.9,2.54,1.82,1.82,2.18,2.17,1.75,3.16,2.53,1.82,2.06,1.67,1.99,2.5,2.04,2.09,2.67,3.38,1.97,4.06,2.4,2.78,2.88,2.2,1.31,3.43,2.94,2.63,3.07,1.96,1.57,2.22,1.81,1.78,2.1,2,1.42,2.08,1.71,1.46,1.85,1.18,1.19,2.13,1.65,1.49,1.81,1.89,1.43,2.87,1.83,1.36,2.36,1.74,1.41,2.28,1.69,1.36,1.89,1.83,1.8,1.65,1.86,1.89,1.94,1.84,1.77,1.72,1.89,2.03,1.76,1.88,2.03,2.95,1.39,1.38,2.03,3.07
(context) true MAX DRAWDOWN $,-3161,-12795,-26935,-5896,-15293,-28006,-5775,-12571,-33358,-3385,-7411,-36114,-3527,-39240,-74665,-4015,-13120,-44893,-8939,-15552,-69297,-2515,-15148,-24346,-3284,-10300,-38708,-4175,-11193,-48465,-2635,-14787,-46828,-6810,-14493,-40602,-7509,-16678,-52856,-4345,-18287,-59223,-8155,-60801,-161003,-7285,-29912,-74469,-18696,-31563,-87342,-7297,-22130,-281155,-6790,-34267,-85661,-8151,-28372,-300351,-13604,-33758,-21219,-32780,-15556,-37347,-16150,-24592,-44325,-85722,-22535,-47927,-31640,-61686,-55396,-61716,-21137,-39211,-55511,-61853
maxDD 7-day $,-3161,-12795,-21609,-5896,-12085,-21114,-5775,-10359,-21273,-3115,-7411,-25672,-3527,-18730,-40767,-4015,-12940,-31210,-8939,-12357,-44907,-2515,-15148,-14688,-3284,-9291,-21172,-4175,-11193,-34077,-2635,-14787,-35169,-6810,-12085,-33914,-7509,-14537,-37102,-4345,-15076,-36642,-8155,-42511,-90214,-7285,-26870,-60467,-18696,-31563,-79480,-7297,-22130,-234139,-6790,-34267,-83360,-8151,-28372,-243597,-12706,-22588,-20699,-30591,-12925,-22114,-16150,-24365,-19749,-42993,-19670,-27271,-26777,-39790,-37079,-40461,-18071,-25233,-37079,-40764
maxDD 30-day $,-3161,-12795,-26935,-5896,-15293,-28006,-5775,-12571,-33358,-3385,-7411,-36114,-3527,-39240,-74665,-4015,-13120,-44893,-8939,-15552,-69297,-2515,-15148,-24346,-3284,-10300,-36190,-4175,-11193,-47039,-2635,-14787,-46828,-6810,-14493,-40602,-7509,-16678,-52856,-4345,-18287,-59223,-8155,-60801,-161003,-7285,-29912,-74469,-18696,-31563,-87342,-7297,-22130,-281155,-6790,-34267,-85661,-8151,-28372,-300351,-13604,-33758,-21219,-32780,-15556,-37347,-16150,-24592,-44325,-85197,-22535,-47927,-31640,-61686,-55396,-61716,-21137,-39211,-55511,-61853
ret / maxDD30,306.8,115.2,52.5,170.0,91.1,55.1,167.5,111.4,37.2,230.1,185.4,49.6,287.4,34.7,17.8,294.3,143.4,47.5,174.5,95.6,36.6,802.7,225.9,48.4,407.7,101.6,10.8,566.6,297.2,57.5,363.1,103.3,34.2,154.2,96.5,43.4,132.8,88.5,29.0,200.1,69.0,25.5,134.1,29.9,12.4,180.7,68.9,38.1,97.7,96.4,39.9,322.5,184.1,24.0,230.7,82.2,38.6,327.0,142.4,22.5,86.7,42.7,47.7,50.8,73.1,36.5,61.7,67.2,23.5,14.1,60.0,40.6,62.3,31.2,43.0,37.6,30.8,11.1,42.7,55.4
avg peak capital $,737,1518,3014,730,1519,3038,737,1511,3044,710,1524,3084,743,1481,2994,754,1543,3095,765,1469,3156,791,1627,2867,760,1473,2401,798,1662,3169,737,1519,3083,735,1519,3096,739,1512,3100,742,1524,3122,748,1539,3145,762,1565,3154,775,1607,3217,809,1656,3296,777,1604,3232,812,1654,3294,1444,2785,1469,2738,1448,2744,1433,2722,1412,2777,1500,2796,1538,2930,1577,2763,1301,2193,1573,3099
ret on capital (daily $/$),1.72,1.269,0.613,1.795,1.199,0.664,1.715,1.211,0.533,1.434,1.178,0.759,1.783,1.203,0.579,2.048,1.594,0.9,2.665,1.323,1.052,3.336,2.749,0.538,2.303,0.928,0.212,3.875,2.616,1.116,1.697,1.315,0.679,1.868,1.203,0.745,1.763,1.276,0.647,1.532,1.083,0.632,1.912,1.543,0.829,2.259,1.722,1.175,3.081,2.475,1.415,3.802,3.217,2.678,2.636,2.295,1.338,4.291,3.193,2.686,1.068,0.676,0.901,0.795,1.027,0.649,0.909,0.794,0.963,0.567,1.179,0.91,1.676,0.858,1.976,1.099,0.655,0.259,1.971,1.444
profitScore ($20-norm),2536,1926,924,2620,1821,1008,2528,1830,812,2036,1796,1171,2650,1782,868,3088,2459,1393,4078,1943,1660,5278,4473,771,3500,1367,255,6184,4348,1769,2502,1998,1047,2746,1828,1153,2606,1930,1003,2274,1650,987,2860,2374,1304,3442,2695,1853,4776,3978,2276,6152,5327,4414,4096,3681,2162,6968,5282,4424,1542,942,1324,1088,1487,890,1302,1081,1360,787,1768,1273,2577,1258,3116,1519,852,284,3101,2238
riskScore ($20-norm),-6322,-12795,-13467,-11792,-15293,-14003,-11550,-12571,-16679,-6770,-7411,-18057,-7054,-39240,-37332,-8030,-13120,-22446,-17878,-15552,-34648,-5030,-15148,-12173,-6568,-10300,-18095,-8350,-11193,-23519,-5270,-14787,-23414,-13620,-14493,-20301,-15018,-16678,-26428,-8690,-18287,-29611,-16310,-60801,-80501,-14570,-29912,-37234,-37392,-31563,-43671,-14594,-22130,-140577,-13580,-34267,-42830,-16302,-28372,-150175,-13604,-16879,-21219,-16390,-15556,-18673,-16150,-12296,-44325,-42598,-22535,-23963,-31640,-30843,-55396,-30858,-21137,-19605,-55511,-30926
GOV lossMax $,-3000,-7000,-5000,-2000,-7000,-6000,-2500,-4500,-5500,-1000,-2500,-9000,-2000,-4500,-7000,-1500,-4000,-7000,-2000,-2000,-9000,-1500,-6500,-3000,-1500,-2500,-6000,-2500,-4500,-7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4000,-7500,-4500,-8000,-4500,-6000,-3500,-7500,-4500,-9000,-4500,-7000,-6500,-8500,-7000,-7000,-7000,-5500,-7000,-7500
